bigram,log_odds_ratio
drink several,-0.4772
without applying,-0.4772
find plastic,-0.4772
get thing,-0.4772
get money,-0.4566
amazon product,-0.4397
zero water,-0.4262
got sick,-0.4262
get notification,-0.3984
please buy,-0.3982
motion zones,-0.3981
try buy,-0.3981
still nothing,-0.3981
brita filters,-0.3981
contact amazon,-0.3981
order received,-0.3981
filter one,-0.3981
anything want,-0.3981
kitchen aid,-0.3981
generation device,-0.3981
much thinner,-0.3981
buying walmart,-0.3981
quality amazon,-0.3981
reason bought,-0.3981
cheap quality,-0.3981
book actually,-0.3981
cards one,-0.3981
something right,-0.3981
get fixed,-0.3981
brown box,-0.3981
guess get,-0.3981
received gift,-0.3981
get working,-0.3981
surface noise,-0.3981
thing got,-0.3981
doorbell chime,-0.3981
times keep,-0.3684
even care,-0.3684
mesh router,-0.3682
product work,-0.3682
previous generations,-0.3682
actually made,-0.3682
create account,-0.3682
amazon could,-0.3595
use word,-0.3524
third time,-0.3524
hour two,-0.3314
water wipes,-0.325
send back,-0.3209
anyone could,-0.3014
hour later,-0.3014
already used,-0.3013
cannot use,-0.3013
coffee grounds,-0.3012
little money,-0.3012
nitrile gloves,-0.3012
purchase product,-0.3012
spent hours,-0.3012
one gift,-0.3012
worst part,-0.3012
another book,-0.3012
tried get,-0.3012
yoga mat,-0.3012
wanted like,-0.3012
made usa,-0.3012
send replacement,-0.3012
amazon products,-0.3012
send new,-0.3012
plot full,-0.3011
exactly got,-0.3011
help told,-0.3011
vita coco,-0.3011
going place,-0.3011
away product,-0.3011
along sides,-0.3011
plus side,-0.3011
car highly,-0.3011
new versions,-0.3011
store app,-0.3011
poor review,-0.3011
router get,-0.3011
key already,-0.3011
clear needed,-0.3011
got bed,-0.3011
feet look,-0.3011
started good,-0.3011
purchasing gift,-0.3011
really went,-0.3011
phone buy,-0.3011
never symptoms,-0.3011
hard drink,-0.3011
thing done,-0.3011
shock mount,-0.3011
like throw,-0.3011
better books,-0.3011
high even,-0.3011
dry helped,-0.3011
time pre,-0.3011
reviews watch,-0.3011
signal levels,-0.3011
neither one,-0.3011
expensive cost,-0.3011
went right,-0.3011
enjoyed first,-0.3011
even borrowed,-0.3011
return exchange,-0.3011
setting actually,-0.3011
better product,-0.3011
kid still,-0.3011
kids next,-0.3011
using wipes,-0.3011
ordered secondly,-0.3011
card arrived,-0.3011
way currently,-0.3011
activities like,-0.3011
coming apart,-0.3011
things changed,-0.3011
seem disappear,-0.3011
